"","truseq","inlysate","purified_RNA","rand_truseq","rank","inlysate_truseq","purified_truseq","inlysate_purified","rand_truseq_truseq"
"12550","PIPSL","LOC102724378","ARMT1","CCDC173",12550,10519,10371,11033,4108
"12551","WDR17","LOC441204","EPHB1","ZFAND2A",12551,10520,10373,11034,4109
"12552","RAB43","LOC101928415","DUSP22","LOC105370115",12552,10521,10374,11036,4109
"12553","CYYR1","XDH","CACNB1","BEAN1-AS1",12553,10522,10376,11037,4109
"12554","C17orf67","LOC105371998","PCDHB14","ARHGAP44",12554,10523,10378,11038,4111
"12555","CORO1A","SH3D21","LOC729970","LOC105379442",12555,10524,10379,11040,4112
"12556","FAM86B1","DPEP2","CLYBL","LOC101928994",12556,10524,10381,11041,4113
"12557","NOTUM","KCNAB3","GTF2IP4","ARNT2",12557,10525,10382,11042,4114
"12558","TAP1","SERHL2","APOA1","LOC107986292",12558,10526,10382,11043,4114
"12559","PRSS36","IPO11","LIPE","ACOX2",12559,10527,10384,11044,4116
"12560","KCND3","LOC101927752","NFYC-AS1","GGNBP1",12560,10528,10385,11044,4117
"12561","PDZK1","LIPE","FBXW5","TMEM156",12561,10529,10386,11046,4117
"12562","LOC101929977","NRGN","SNX8","TADA3",12562,10531,10388,11048,4118
"12563","LOC153684","RASL10A","AZIN1","PGR",12563,10531,10390,11049,4119
"12564","B3GALT5-AS1","FAM87B","UBTD2","LOC102723933",12564,10532,10391,11051,4119
"12565","FLJ12825","TMEM79","GCDH","ZNF71-SMIM17",12565,10534,10393,11052,4119
"12566","RSPH9","LOC284344","ZFP69","LOC100507221",12566,10536,10395,11054,4119
"12567","LOC441666","S1PR5","FZR1","MIR4673",12567,10536,10397,11055,4119
"12568","TBC1D30","PARM1","SCAND2P","LOC107986829",12568,10536,10398,11056,4119
"12569","PBX4","LOC105378841","NUP85","ZNF516-DT",12569,10536,10400,11057,4120
"12570","IL36B","LOC101928436","B4GALT6","LOC105374102",12570,10536,10401,11058,4120
"12571","FBXL16","LOC105375401","LOC107984308","ELMOD2",12571,10536,10401,11058,4120
"12572","PLEKHB1","LOC105378756","LOC105371933","LOC105372394",12572,10537,10402,11059,4120
"12573","EHMT2","RIPK3","IKBKB","AQP8",12573,10538,10404,11060,4120
"12574","SNAP25","DNASE1L2","GTF2B","LINC02564",12574,10538,10406,11062,4120
"12575","CYSRT1","BRINP2","RPL29","SNORD147",12575,10538,10407,11063,4120
"12576","LINC02104","STOX2","SNX2","FAM41C",12576,10540,10409,11064,4120
"12577","GSTT2","PGBD5","ZNF688","CLSTN3",12577,10541,10410,11066,4120
"12578","GPSM3","LOC283387","MSRA","LOC100287329",12578,10541,10411,11067,4120
"12579","LOC102723944","KLHL41","ETFBKMT","MIR4450",12579,10543,10412,11068,4120
"12580","LOC105376026","LOC105375240","LOC101928617","LOC105375928",12580,10544,10412,11068,4120
"12581","C6orf47","LINC00513","PTOV1","ZNF213",12581,10545,10412,11070,4122
"12582","PACRG","LOC102723665","ACTR1B","FAR2P2",12582,10546,10413,11072,4122
"12583","ZNF829","LOC105375591","PTGDS","LINC00663",12583,10548,10414,11074,4122
"12584","SNORD17","TYW1B","RPPH1","FAM230F",12584,10549,10414,11076,4122
"12585","C1QTNF2","CBWD6","ST6GALNAC5","ZNF226",12585,10551,10416,11078,4123
"12586","LOC112267960","ETNK2","PCP4","GPR34",12586,10552,10417,11080,4123
"12587","ATAD3B","BNIPL","LOC112268250","FOXN1",12587,10553,10418,11080,4123
"12588","OLFML3","RGPD6","SIRT7","THCAT155",12588,10555,10420,11081,4124
"12589","EIF3L","LOC101928504","ROBO3","GRM2",12589,10556,10422,11083,4125
"12590","CCDC47","FAM189B","LYRM4-AS1","FAM177B",12590,10558,10424,11084,4125
"12591","P2RX4","LOC107986762","NXPH4","DDIT4L",12591,10559,10425,11085,4126
"12592","QTRT1","CGB5","CDC34","C1orf195",12592,10560,10427,11086,4126
"12593","DZIP3","LOC646903","DNAJC2","CCDC185",12593,10562,10429,11087,4126
"12594","SFXN4","LINC02773","RNF13","DPY19L2P2",12594,10563,10431,11088,4128
"12595","MAP3K1","LINC01703","SLC23A2","LINC01708",12595,10565,10432,11090,4129
"12596","SUSD5","MRPS12","RCCD1","LOC107987097",12596,10566,10433,11091,4130
"12597","NUDT17","KRTAP4-8","SLC35G2","LOC105375149",12597,10567,10435,11092,4130
"12598","NPL","RSKR","DMTN","LOC102725035",12598,10568,10436,11092,4130
"12599","GTF2H2B","LMO7DN","LOC729218","LINC02773",12599,10568,10437,11093,4130
"12600","PLD5","PPP1R12A-AS1","FAAHP1","OR6S1",12600,10569,10437,11094,4130
"12601","LOC100289361","LOC107986838","STAM2","CDC42BPG",12601,10571,10439,11096,4131
"12602","LOC101927550","CLEC2A","PSMA2","LOC101927509",12602,10572,10440,11097,4132
"12603","LINC00174","JAG2","ZNF335","LOC107984139",12603,10573,10441,11099,4132
