"","truseq","inlysate","purified_RNA","rank","rand_truseq","inlysate_truseq","purified_truseq","inlysate_purified","rand_truseq_truseq"
"22803","FAM153A","GAGE13","FAM153A",22803,"LINC01717",20886,22803,20886,13530
"22804","FAM153B","GAGE2A","FAM153B",22804,"LOC107986943",20887,22804,20887,13530
"22805","FAM157A","GAL3ST2","FAM157A",22805,"GON4L",20888,22805,20888,13532
"22806","FAM157B","GAL3ST3","FAM157B",22806,"CDH10",20889,22806,20889,13533
"22807","FAM157C","GALNT4","FAM157C",22807,"TMEM140",20890,22807,20890,13534
"22808","FAM160A1-DT","GALNT8","FAM160A1-DT",22808,"CRLF2",20891,22808,20891,13535
"22809","FAM163A","GALNT9","FAM163A",22809,"LOC107984132",20892,22809,20892,13536
"22810","FAM163B","GALNTL5","FAM163B",22810,"LOC102723714",20893,22810,20893,13537
"22811","FAM166B","GALNTL6-AS1","FAM166B",22811,"LOC101927890",20894,22811,20894,13538
"22812","FAM166C","GALP","FAM166C",22812,"NUP153",20895,22812,20895,13540
"22813","FAM167A-AS1","GAPT","FAM167A-AS1",22813,"LOC105371064",20896,22813,20896,13540
"22814","FAM169B","GAS2L1P2","FAM169B",22814,"LOC107987147",20897,22814,20897,13542
"22815","FAM170B","GAS2L2","FAM170B",22815,"SH3D19",20898,22815,20898,13544
"22816","FAM170B-AS1","GAS8-AS1","FAM170B-AS1",22816,"LINC02312",20899,22816,20899,13544
"22817","FAM172BP","GATA1","FAM172BP",22817,"RHBG",20900,22817,20900,13545
"22818","FAM178B","GATA3-AS1","FAM178B",22818,"LINC02181",20902,22818,20902,13545
"22819","FAM180B","GATA4","FAM180B",22819,"LOC105371941",20903,22819,20903,13547
"22820","FAM181A","GATA5","FAM181A",22820,"EDC4",20904,22820,20904,13549
"22821","FAM181A-AS1","GAU1","FAM181A-AS1",22821,"FOXS1",20905,22821,20905,13549
"22822","FAM181B","GBA3","FAM181B",22822,"DBF4B",20907,22822,20907,13551
"22823","FAM182A","GBP1P1","FAM182A",22823,"CPNE4",20908,22823,20908,13553
"22824","FAM182B","GBP7","FAM182B",22824,"AHSA2P",20909,22824,20909,13554
"22825","FAM183BP","GBX1","FAM183BP",22825,"MMP8",20910,22825,20910,13555
"22826","FAM186A","GBX2","FAM186A",22826,"LACTBL1",20911,22826,20911,13556
"22827","FAM187A","GC","FAM187A",22827,"LOC105370366",20912,22827,20912,13556
"22828","FAM187B","GCGR","FAM187B",22828,"LOC102723406",20913,22828,20913,13556
"22829","FAM189A1","GCKR","FAM189A1",22829,"STK24-AS1",20915,22829,20915,13558
"22830","FAM197Y2","GCM2","FAM197Y2",22830,"H1-2",20916,22830,20916,13559
"22831","FAM197Y3","GCNT2","FAM197Y3",22831,"TM2D2",20917,22831,20917,13561
"22832","FAM197Y4","GCNT7","FAM197Y4",22832,"GNB1",20918,22832,20918,13562
"22833","FAM197Y5","GCSAM","FAM197Y5",22833,"SCNN1B",20919,22833,20919,13563
"22834","FAM197Y6","GCSAML","FAM197Y6",22834,"MIR4432",20920,22834,20920,13563
"22835","FAM197Y7","GCSAML-AS1","FAM197Y7",22835,"TSC2",20921,22835,20921,13565
"22836","FAM197Y8","GCSHP3","FAM197Y8",22836,"LOC105373487",20922,22836,20922,13566
"22837","FAM197Y9","GCSIR","FAM197Y9",22837,"LOC107984451",20923,22837,20923,13568
"22838","FAM201A","GDA","FAM201A",22838,"RAB30",20924,22838,20924,13570
"22839","FAM205A","GDF1","FAM205A",22839,"LINC02302",20925,22839,20925,13570
"22840","FAM205BP","GDF2","FAM205BP",22840,"LINC01896",20926,22840,20926,13571
"22841","FAM205C","GDF3","FAM205C",22841,"CELF2-AS2",20927,22841,20927,13572
"22842","FAM209A","GDF5-AS1","FAM209A",22842,"MIR520E",20928,22842,20928,13573
"22843","FAM215A","GDF7","FAM215A",22843,"LOC105373155",20929,22843,20929,13574
"22844","FAM215B","GDPD2","FAM215B",22844,"BHLHA9",20930,22844,20930,13575
"22845","FAM216B","GDPD4","FAM216B",22845,"UBE2Q2",20932,22845,20932,13576
"22846","FAM217A","GET1-SH3BGR","FAM217A",22846,"MIR4700",20933,22846,20933,13576
"22847","FAM220CP","GFI1B","FAM220CP",22847,"LOC102546299",20934,22847,20934,13576
"22848","FAM222A-AS1","GFRA3","FAM222A-AS1",22848,"CCDC172",20935,22848,20935,13577
"22849","FAM223A","GFRA4","FAM223A",22849,"GHITM",20936,22849,20936,13579
"22850","FAM223B","GFRAL","FAM223B",22850,"LY86",20937,22850,20937,13580
"22851","FAM224A","GFY","FAM224A",22851,"LINC01554",20939,22851,20939,13581
"22852","FAM226A","GGNBP1","FAM226A",22852,"LOC105377784",20941,22852,20941,13582
"22853","FAM226B","GGT2","FAM226B",22853,"IGSF11",20942,22853,20942,13584
"22854","FAM230A","GGT3P","FAM230A",22854,"GMCL1",20943,22854,20943,13586
"22855","FAM230B","GGTLC2","FAM230B",22855,"SUV39H2",20944,22855,20944,13587
"22856","FAM230C","GGTLC3","FAM230C",22856,"LOC105370593",20945,22856,20945,13588
"22857","FAM230D","GH2","FAM230D",22857,"MIR4500",20946,22857,20946,13589
"22858","FAM230E","GHRH","FAM230E",22858,"LOC102723322",20947,22858,20947,13591
"22859","FAM230F","GHRHR","FAM230F",22859,"RNA28SN4",20948,22859,20948,13591
"22860","FAM230G","GHRL","FAM230G",22860,"LOC105372044",20950,22860,20950,13593
"22861","FAM230H","GHSR","FAM230H",22861,"SKIL",20952,22861,20952,13595
"22862","FAM230I","GIMAP1-GIMAP5","FAM230I",22862,"LEF1",20953,22862,20953,13596
"22863","FAM230J","GIMAP4","FAM230J",22863,"ANKRD30BL",20954,22863,20954,13598
"22864","FAM236A","GIMAP5","FAM236A",22864,"CAMKMT",20955,22864,20955,13599
"22865","FAM236B","GIMAP6","FAM236B",22865,"RNF175",20956,22865,20956,13601
"22866","FAM236C","GIMAP7","FAM236C",22866,"NINJ1",20957,22866,20957,13603
"22867","FAM236D","GIMAP8","FAM236D",22867,"GPATCH11",20958,22867,20958,13604
"22868","FAM237A","GIMD1","FAM237A",22868,"LOC105375639",20959,22868,20959,13605
"22869","FAM238B","GJA10","FAM238B",22869,"CNTNAP5",20960,22869,20960,13607
"22870","FAM239C","GJA4","FAM239C",22870,"DDX3X",20961,22870,20961,13608
"22871","FAM242A","GJA5","FAM242A",22871,"MIR574",20962,22871,20962,13609
"22872","FAM242B","GJA9","FAM242B",22872,"MIR509-2",20963,22872,20963,13609
"22873","FAM242E","GJA9-MYCBP","FAM242E",22873,"UPK2",20964,22873,20964,13610
"22874","FAM242F","GJB3","FAM242F",22874,"SRBD1",20966,22874,20966,13611
"22875","FAM243A","GJB4","FAM243A",22875,"ARID3B",20967,22875,20967,13612
"22876","FAM243B","GJB5","FAM243B",22876,"FAM133CP",20969,22876,20969,13614
"22877","FAM245A","GJB6","FAM245A",22877,"LOC105371661",20970,22877,20970,13615
"22878","FAM245B","GJB7","FAM245B",22878,"LINC02271",20971,22878,20971,13615
"22879","FAM24A","GJD2","FAM24A",22879,"SIK3",20972,22879,20972,13616
"22880","FAM24B-CUZD1","GJE1","FAM24B-CUZD1",22880,"DHPS",20973,22880,20973,13618
"22881","FAM25BP","GK2","FAM25BP",22881,"CCDC163",20974,22881,20974,13620
"22882","FAM25C","GK3P","FAM25C",22882,"EZH1",20975,22882,20975,13622
"22883","FAM25E","GKN1","FAM25E",22883,"LINC01546",20976,22883,20976,13624
"22884","FAM25G","GKN2","FAM25G",22884,"LOC105375746",20978,22884,20978,13624
"22885","FAM27E2","GLB1L2","FAM27E2",22885,"LOC107985412",20980,22885,20980,13625
"22886","FAM27E5","GLOD5","FAM27E5",22886,"SECISBP2L",20981,22886,20981,13626
"22887","FAM30A","GLP1R","FAM30A",22887,"LOC105375645",20982,22887,20982,13628
"22888","FAM30B","GLP2R","FAM30B",22888,"AMELY",20984,22888,20984,13630
"22889","FAM30C","GLRA1","FAM30C",22889,"LOC105376483",20985,22889,20985,13632
"22890","FAM3D","GLRA2","FAM3D",22890,"WDR70",20987,22890,20987,13634
"22891","FAM3D-AS1","GLRA3","FAM3D-AS1",22891,"LOC105375911",20988,22891,20988,13635
"22892","FAM41AY1","GLRA4","FAM41AY1",22892,"MEF2C-AS2",20990,22892,20990,13635
"22893","FAM41AY2","GLS2","FAM41AY2",22893,"LOC107985437",20991,22893,20991,13635
"22894","FAM41C","GLT1D1","FAM41C",22894,"LOC105372631",20992,22894,20992,13637
"22895","FAM47A","GLT6D1","FAM47A",22895,"ANKRD10",20993,22895,20993,13639
"22896","FAM47B","GLTPD2","FAM47B",22896,"LOC105378032",20995,22896,20995,13640
"22897","FAM47C","GLYAT","FAM47C",22897,"TNFAIP1",20996,22897,20996,13641
"22898","FAM47E-STBD1","GLYATL1B","FAM47E-STBD1",22898,"RRAGC",20997,22898,20997,13643
"22899","FAM66A","GLYATL3","FAM66A",22899,"CEACAM1",20998,22899,20998,13644
"22900","FAM66D","GLYCAM1","FAM66D",22900,"LOC105371963",20999,22900,20999,13645
"22901","FAM66E","GLYCTK-AS1","FAM66E",22901,"FILIP1",21000,22901,21000,13646
"22902","FAM71B","GML","FAM71B",22902,"LOC105378800",21001,22902,21001,13647
"22903","FAM71C","GNAT3","FAM71C",22903,"DNAJC5B",21002,22903,21002,13648
"22904","FAM71D","GNG13","FAM71D",22904,"MIR4288",21003,22904,21003,13648
"22905","FAM71E2","GNG14","FAM71E2",22905,"ZDHHC23",21004,22905,21004,13650
"22906","FAM74A1","GNG3","FAM74A1",22906,"KLF9",21006,22906,21006,13651
"22907","FAM74A3","GNG4","FAM74A3",22907,"HOXD13",21007,22907,21007,13651
"22908","FAM74A4","GNLY","FAM74A4",22908,"LY6G6C",21008,22908,21008,13652
"22909","FAM74A6","GNMT","FAM74A6",22909,"LOC105371240",21009,22909,21009,13654
"22910","FAM74A7","GNRHR","FAM74A7",22910,"ST14",21011,22910,21011,13655
"22911","FAM81B","GOLGA2P2Y","FAM81B",22911,"RNASE9",21012,22911,21012,13655
"22912","FAM83A","GOLGA2P3Y","FAM83A",22912,"ADTRP",21013,22912,21013,13657
"22913","FAM83A-AS1","GOLGA2P6","FAM83A-AS1",22913,"LOC105376273",21014,22913,21014,13657
"22914","FAM83F","GOLGA6A","FAM83F",22914,"LOC105369843",21015,22914,21015,13657
"22915","FAM83H","GOLGA6B","FAM83H",22915,"LINC02759",21016,22915,21016,13658
"22916","FAM83H-AS1","GOLGA6C","FAM83H-AS1",22916,"MAB21L1",21017,22916,21017,13659
"22917","FAM85B","GOLGA6D","FAM85B",22917,"LOC105369863",21018,22917,21018,13660
"22918","FAM86B2","GOLGA6L1","FAM86B2",22918,"KRT16P2",21019,22918,21019,13660
"22919","FAM86B3P","GOLGA6L10","FAM86B3P",22919,"ELFN1",21020,22919,21020,13661
"22920","FAM90A10P","GOLGA6L22","FAM90A10P",22920,"LOC105375187",21021,22920,21021,13662
"22921","FAM90A25P","GOLGA6L3","FAM90A25P",22921,"TYROBP",21022,22921,21022,13663
"22922","FAM90A26","GOLGA6L4","FAM90A26",22922,"NUTM1",21023,22922,21023,13664
"22923","FAM90A27P","GOLGA6L6","FAM90A27P",22923,"LOC107987463",21024,22923,21024,13664
"22924","FAM90A2P","GOLGA6L7","FAM90A2P",22924,"SIRPB1",21025,22924,21025,13666
"22925","FAM90A7P","GOLGA8CP","FAM90A7P",22925,"LOC101929800",21026,22925,21026,13667
"22926","FAM92A1P2","GOLGA8DP","FAM92A1P2",22926,"LOC107984252",21027,22926,21027,13668
"22927","FAM95A","GOLGA8EP","FAM95A",22927,"SELENOF",21028,22927,21028,13670
"22928","FAM95B1","GOLGA8F","FAM95B1",22928,"TMEM215",21029,22928,21029,13670
"22929","FAM95C","GOLGA8G","FAM95C",22929,"LINC00581",21030,22929,21030,13671
"22930","FAM99A","GOLGA8IP","FAM99A",22930,"LINC01501",21031,22930,21031,13673
"22931","FAM99B","GOLGA8J","FAM99B",22931,"UBB",21032,22931,21032,13674
"22932","FAM9A","GOLGA8M","FAM9A",22932,"BCL3",21033,22932,21033,13676
"22933","FAM9B","GOLGA8O","FAM9B",22933,"CENPM",21034,22933,21034,13678
"22934","FAM9C","GOLGA8Q","FAM9C",22934,"TMEM138",21035,22934,21035,13680
"22935","FANCD2OS","GOLGA8S","FANCD2OS",22935,"GEMIN7-AS1",21036,22935,21036,13682
"22936","FANK1-AS1","GOLGA8T","FANK1-AS1",22936,"LOC105376253",21037,22936,21037,13684
"22937","FAR2P1","GOLT1A","FAR2P1",22937,"CASP12",21038,22937,21038,13686
"22938","FARSA-AS1","GOT1L1","FARSA-AS1",22938,"FLOT2",21039,22938,21039,13688
"22939","FAT2","GP1BA","FAT2",22939,"NDUFAF7",21040,22939,21040,13689
"22940","FBN3","GP1BB","FBN3",22940,"MIR5197",21041,22940,21041,13689
"22941","FBP2","GP2","FBP2",22941,"AGAP5",21042,22941,21042,13691
"22942","FBXL21P","GP6","FBXL21P",22942,"SAA2",21043,22942,21043,13693
"22943","FBXO39","GP9","FBXO39",22943,"LOC112268267",21044,22943,21044,13694
"22944","FBXO40","GPA33","FBXO40",22944,"LOC105373864",21045,22944,21045,13694
"22945","FBXW7-AS1","GPC3-AS1","FBXW7-AS1",22945,"STKLD1",21046,22945,21046,13694
"22946","FCAMR","GPC5","FCAMR",22946,"GSG1L",21047,22946,21047,13696
"22947","FCAR","GPC5-AS2","FCAR",22947,"LOC107986833",21048,22947,21048,13698
"22948","FCER1A","GPC6-AS1","FCER1A",22948,"CASC19",21049,22948,21049,13699
"22949","FCF1P2","GPC6-AS2","FCF1P2",22949,"PRR11",21050,22949,21050,13700
"22950","FCGR1A","GPHB5","FCGR1A",22950,"PARP11-AS1",21051,22950,21051,13701
"22951","FCGR1B","GPIHBP1","FCGR1B",22951,"GTF2IP12",21052,22951,21052,13703
"22952","FCGR1CP","GPM6A","FCGR1CP",22952,"NTPCR",21053,22952,21053,13705
"22953","FCGR3A","GPR1-AS","FCGR3A",22953,"LOC105370345",21054,22953,21054,13705
"22954","FCGR3B","GPR101","FCGR3B",22954,"MIR556",21055,22954,21055,13706
"22955","FCN1","GPR119","FCN1",22955,"MIR516A2",21056,22955,21056,13707
"22956","FCN2","GPR12","FCN2",22956,"TRAF3",21057,22956,21057,13708
"22957","FCN3","GPR139","FCN3",22957,"LOC105372071",21058,22957,21058,13709
"22958","FCRL1","GPR141","FCRL1",22958,"TTTY10",21059,22958,21059,13709
"22959","FCRL2","GPR143","FCRL2",22959,"NEDD4",21060,22959,21060,13711
"22960","FCRL3","GPR148","FCRL3",22960,"LOC105370241",21061,22960,21061,13712
"22961","FCRL4","GPR149","FCRL4",22961,"LINC01016",21062,22961,21062,13714
"22962","FCRL5","GPR15","FCRL5",22962,"LBP",21063,22962,21063,13715
"22963","FCRL6","GPR151","FCRL6",22963,"LOC105372812",21064,22963,21064,13716
"22964","FDCSP","GPR152","FDCSP",22964,"STARD13-AS",21065,22964,21065,13717
"22965","FDPSP2","GPR158","FDPSP2",22965,"LOC105375789",21067,22965,21067,13718
"22966","FER1L6-AS1","GPR158-AS1","FER1L6-AS1",22966,"LOC105370743",21068,22966,21068,13719
"22967","FER1L6-AS2","GPR171","FER1L6-AS2",22967,"PGBP",21069,22967,21069,13720
"22968","FEV","GPR174","FEV",22968,"CFHR1",21070,22968,21070,13722
"22969","FEZF1-AS1","GPR179","FEZF1-AS1",22969,"LOC102723944",21071,22969,21071,13724
"22970","FFAR1","GPR18","FFAR1",22970,"LINC02219",21073,22970,21073,13724
"22971","FFAR2","GPR182","FFAR2",22971,"C6orf163",21074,22971,21074,13726
"22972","FFAR3","GPR20","FFAR3",22972,"ERVK3-1",21075,22972,21075,13727
"22973","FFAR4","GPR22","FFAR4",22973,"SLC26A10",21076,22973,21076,13728
"22974","FGA","GPR25","FGA",22974,"S100A6",21077,22974,21077,13730
"22975","FGB","GPR31","FGB",22975,"RNVU1-1",21078,22975,21078,13730
"22976","FGD2","GPR33","FGD2",22976,"OR2A14",21079,22976,21079,13731
"22977","FGD5","GPR37L1","FGD5",22977,"SYNJ2BP",21081,22977,21081,13733
"22978","FGD5P1","GPR42","FGD5P1",22978,"LOC105375377",21082,22978,21082,13733
"22979","FGF10-AS1","GPR45","FGF10-AS1",22979,"LOC107985289",21083,22979,21083,13735
"22980","FGF11","GPR50","FGF11",22980,"LINC02873",21084,22980,21084,13736
"22981","FGF12-AS1","GPR50-AS1","FGF12-AS1",22981,"SNORD116-23",21085,22981,21085,13738
"22982","FGF12-AS2","GPR52","FGF12-AS2",22982,"UPB1",21086,22982,21086,13740
"22983","FGF14-AS1","GPR6","FGF14-AS1",22983,"LOC107985193",21087,22983,21087,13742
"22984","FGF14-IT1","GPR75-ASB3","FGF14-IT1",22984,"TCEA2",21088,22984,21088,13743
"22985","FGF17","GPR78","FGF17",22985,"DCAKD",21089,22985,21089,13744
"22986","FGF19","GPR83","FGF19",22986,"LOC107985263",21091,22986,21091,13746
"22987","FGF20","GPR87","FGF20",22987,"XYLT2",21093,22987,21093,13747
"22988","FGF21","GPRACR","FGF21",22988,"HDAC9",21095,22988,21095,13749
"22989","FGF23","GPRASP2","FGF23",22989,"LINC02475",21096,22989,21096,13751
"22990","FGF3","GPRC6A","FGF3",22990,"CCDC146",21097,22990,21097,13753
"22991","FGF4","GPRIN2","FGF4",22991,"MIR6848",21098,22991,21098,13753
"22992","FGF6","GPSM3","FGF6",22992,"ZSCAN1",21099,22992,21099,13755
"22993","FGF8","GPX2","FGF8",22993,"PTPRT",21100,22993,21100,13756
"22994","FGFBP2","GPX5","FGFBP2",22994,"KCTD21-AS1",21101,22994,21101,13758
"22995","FGG","GPX6","FGG",22995,"SKI",21102,22995,21102,13760
"22996","FGL1","GRAMD2A","FGL1",22996,"TENM3-AS1",21104,22996,21104,13761
"22997","FHAD1-AS1","GRAPL","FHAD1-AS1",22997,"LOC105376306",21105,22997,21105,13762
"22998","FHL5","GRASP-AS1","FHL5",22998,"LOC105377702",21107,22998,21107,13763
"22999","FIGLA","GRHL2","FIGLA",22999,"LOC440742",21108,22999,21108,13763
"23000","FIGNL2-DT","GRHL3","FIGNL2-DT",23000,"SOCS2",21110,23000,21110,13765
"23001","FITM1","GRHL3-AS1","FITM1",23001,"TWSG1",21111,23001,21111,13767
"23002","FKBP1A-SDCBP2","GRID1-AS1","FKBP1A-SDCBP2",23002,"CNKSR3",21112,23002,21112,13769
"23003","FKBP6","GRID2IP","FKBP6",23003,"LMF1-AS1",21113,23003,21113,13771
"23004","FKBPL","GRIFIN","FKBPL",23004,"AP1G2",21114,23004,21114,13773
"23005","FKSG29","GRIK1","FKSG29",23005,"ZKSCAN4",21116,23005,21116,13775
"23006","FLG2","GRIK3","FLG2",23006,"LOC101926944",21117,23006,21117,13777
"23007","FLICR","GRIN1","FLICR",23007,"NHLH2",21119,23007,21119,13778
"23008","FLJ13224","GRM3-AS1","FLJ13224",23008,"MIR548AH",21120,23008,21120,13779
"23009","FLJ16779","GRM4","FLJ16779",23009,"HSBP1",21122,23009,21122,13781
"23010","FLJ25758","GRM5-AS1","FLJ25758",23010,"LOC105371215",21123,23010,21123,13782
"23011","FLJ30679","GRM6","FLJ30679",23011,"REP15",21125,23011,21125,13783
"23012","FLJ33534","GRM7","FLJ33534",23012,"LOC101928361",21126,23012,21126,13784
"23013","FLJ40194","GRM7-AS1","FLJ40194",23013,"PARL",21128,23013,21128,13785
"23014","FLJ40288","GRM7-AS2","FLJ40288",23014,"LOC105379048",21129,23014,21129,13785
"23015","FLJ42102","GRM7-AS3","FLJ42102",23015,"HIVEP3",21130,23015,21130,13787
"23016","FLJ42393","GRM8-AS1","FLJ42393",23016,"NLRP14",21131,23016,21131,13789
"23017","FLJ42969","GRPEL2-AS1","FLJ42969",23017,"PRSS16",21132,23017,21132,13791
"23018","FLJ43315","GRXCR1","FLJ43315",23018,"HID1-AS1",21133,23018,21133,13792
"23019","FLT3","GRXCR2","FLT3",23019,"ARHGAP12",21134,23019,21134,13793
"23020","FMO2","GS1-24F4.2","FMO2",23020,"SPCS3",21135,23020,21135,13794
"23021","FMO3","GS1-278J22.2","FMO3",23021,"THAP12",21136,23021,21136,13796
"23022","FMO6P","GS1-279B7.1","FMO6P",23022,"ZNF506",21137,23022,21137,13797
"23023","FMO9P","GS1-594A7.3","FMO9P",23023,"GPX8",21138,23023,21138,13799
"23024","FMR1NB","GS1-600G8.3","FMR1NB",23024,"LINC02201",21139,23024,21139,13800
"23025","FNDC7","GSC2","FNDC7",23025,"LINC01659",21140,23025,21140,13800
"23026","FNDC9","GSDMC","FNDC9",23026,"LOC102723364",21142,23026,21142,13801
"23027","FOLH1","GSG1L2","FOLH1",23027,"LINC01683",21143,23027,21143,13801
"23028","FOLH1B","GSTA2","FOLH1B",23028,"SP140",21145,23028,21145,13803
"23029","FOLR2","GSTA3","FOLR2",23029,"LOC105374459",21146,23029,21146,13804
"23030","FOXA2","GSTA5","FOXA2",23030,"SYAP1",21147,23030,21147,13806
"23031","FOXB1","GSTA7P","FOXB1",23031,"SNORD114-16",21148,23031,21148,13806
"23032","FOXB2","GSTCD-AS1","FOXB2",23032,"MIR330",21149,23032,21149,13806
"23033","FOXCUT","GSTM2P1","FOXCUT",23033,"RAD52",21151,23033,21151,13808
"23034","FOXD3","GSTT4","FOXD3",23034,"LINC02060",21153,23034,21153,13808
"23035","FOXD4L3","GSTTP2","FOXD4L3",23035,"SNORD31B",21154,23035,21154,13809
"23036","FOXD4L4","GSX1","FOXD4L4",23036,"LOC105374458",21155,23036,21155,13810
"23037","FOXD4L5","GSX2","FOXD4L5",23037,"LOC107985938",21156,23037,21156,13811
"23038","FOXD4L6","GTF2A1L","FOXD4L6",23038,"FOSB",21157,23038,21157,13813
"23039","FOXE1","GTF2H4","FOXE1",23039,"C19orf84",21159,23039,21159,13814
"23040","FOXG1-AS1","GTF2IP7","FOXG1-AS1",23040,"MIR6803",21160,23040,21160,13816
"23041","FOXI1","GTF2IRD1P1","FOXI1",23041,"RBMY2EP",21162,23041,21162,13817
"23042","FOXI2","GTF3C2-AS1","FOXI2",23042,"GPR87",21163,23042,21163,13818
"23043","FOXI3","GTSCR1","FOXI3",23043,"EAF2",21164,23043,21164,13820
"23044","FOXJ1","GTSF1","FOXJ1",23044,"ZNF750",21165,23044,21165,13821
"23045","FOXL3","GTSF1L","FOXL3",23045,"WDR90",21166,23045,21166,13823
"23046","FOXL3-OT1","GUCA2A","FOXL3-OT1",23046,"LOC112268078",21167,23046,21167,13825
"23047","FOXN1","GUCA2B","FOXN1",23047,"CACNG7",21168,23047,21168,13827
"23048","FOXN4","GUCY1B2","FOXN4",23048,"MIR935",21169,23048,21169,13827
"23049","FOXO6-AS1","GUCY2C","FOXO6-AS1",23049,"SNHG12",21170,23049,21170,13829
"23050","FOXP1-AS1","GUCY2D","FOXP1-AS1",23050,"PFAS",21171,23050,21171,13830
"23051","FOXR1","GUCY2EP","FOXR1",23051,"LL22NC03-63E9.3",21172,23051,21172,13831
"23052","FOXR2","GUCY2GP","FOXR2",23052,"PRKAR1B-AS2",21173,23052,21173,13831
"23053","FOXS1","GUSBP10","FOXS1",23053,"LOC101929006",21174,23053,21174,13832
"23054","FP248","GUSBP14","FP248",23054,"LOC101929128",21175,23054,21175,13833
"23055","FPGT-TNNI3K","GUSBP15","FPGT-TNNI3K",23055,"SH3TC2-DT",21177,23055,21177,13835
"23056","FPR3","GUSBP2","FPR3",23056,"LOC105371332",21179,23056,21179,13836
"23057","FREM2","GUSBP3","FREM2",23057,"FKBP3",21181,23057,21181,13838
"23058","FREM2-AS1","GXYLT1P3","FREM2-AS1",23058,"TBC1D14",21182,23058,21182,13840
"23059","FRG1-DT","GYPA","FRG1-DT",23059,"SBF1",21183,23059,21183,13842
"23060","FRG2","GYPB","FRG2",23060,"SERPINE1",21185,23060,21185,13844
"23061","FRG2DP","GZMA","FRG2DP",23061,"XIRP2-AS1",21186,23061,21186,13845
"23062","FRG2KP","GZMH","FRG2KP",23062,"NEU1",21187,23062,21187,13846
"23063","FRGCA","GZMK","FRGCA",23063,"LINC00648",21188,23063,21188,13847
"23064","FRMD8P1","GZMM","FRMD8P1",23064,"SNORD3I",21189,23064,21189,13848
"23065","FRMPD2","H1-7","FRMPD2",23065,"L3MBTL4",21190,23065,21190,13849
"23066","FRMPD2B","H1-8","FRMPD2B",23066,"FBXO33",21191,23066,21191,13851
"23067","FRMPD3-AS1","H19","FRMPD3-AS1",23067,"ADRA1D",21193,23067,21193,13853
"23068","FSBP","H2AB1","FSBP",23068,"HJV",21194,23068,21194,13855
"23069","FSCB","H2AB2","FSCB",23069,"MRFAP1L1",21195,23069,21195,13856
"23070","FSCN3","H2AB3","FSCN3",23070,"CTSLP8",21196,23070,21196,13858
"23071","FSHB","H2AC1","FSHB",23071,"LOC107985035",21197,23071,21197,13859
"23072","FSHR","H2AC7","FSHR",23072,"TF",21198,23072,21198,13861
"23073","FSIP2","H2AP","FSIP2",23073,"MIR3924",21199,23073,21199,13862
"23074","FSIP2-AS1","H2AW","FSIP2-AS1",23074,"LOC100505874",21200,23074,21200,13863
"23075","FSIP2-AS2","H2AZ1-DT","FSIP2-AS2",23075,"ZNF708",21202,23075,21202,13864
"23076","FSTL4","H2BC1","FSTL4",23076,"CILK1",21203,23076,21203,13866
"23077","FSTL5","H2BC10","FSTL5",23077,"MIR7-1",21205,23077,21205,13867
"23078","FTCD-AS1","H2BE1","FTCD-AS1",23078,"BMP6",21206,23078,21206,13869
"23079","FTHL17","H2BS1","FTHL17",23079,"LOC105379370",21208,23079,21208,13870
"23080","FTHL18","H2BU1","FTHL18",23080,"NCCRP1",21209,23080,21209,13872
"23081","FTLP10","H2BW1","FTLP10",23081,"LOC105375942",21211,23081,21211,13874
"23082","FTMT","H2BW2","FTMT",23082,"MED7",21212,23082,21212,13875
"23083","FUT2","H3-4","FUT2",23083,"SNORD145",21213,23083,21213,13875
"23084","FUT3","H3C12","FUT3",23084,"DNMT3A",21215,23084,21215,13877
"23085","FUT6","H3C13","FUT6",23085,"HYI",21216,23085,21216,13879
"23086","FUT7","H3C14","FUT7",23086,"MIR3200",21217,23086,21217,13879
"23087","FUT9","H3C15","FUT9",23087,"CCDC85C",21218,23087,21218,13881
"23088","FXYD2","H3C2","FXYD2",23088,"AP5B1",21220,23088,21220,13883
"23089","FXYD4","H3C6","FXYD4",23089,"LOC105378150",21222,23089,21222,13883
"23090","FXYD6-FXYD2","H3C7","FXYD6-FXYD2",23090,"ZPBP2",21224,23090,21224,13884
"23091","G2E3-AS1","H3P4","G2E3-AS1",23091,"DNMT1",21226,23091,21226,13886
"23092","G6PC","H4-16","G6PC",23092,"CTNND2",21228,23092,21228,13888
"23093","G6PC2","H4C13","G6PC2",23093,"LINC01578",21230,23093,21230,13889
"23094","GAB4","H4C14","GAB4",23094,"LOC102723543",21231,23094,21231,13890
"23095","GABARAPL3","H4C15","GABARAPL3",23095,"PIGP",21232,23095,21232,13892
"23096","GABRA1","H4C7","GABRA1",23096,"LOC107987362",21233,23096,21233,13893
"23097","GABRA2","H4C9","GABRA2",23097,"LOC105375830",21234,23097,21234,13894
"23098","GABRA3","HABP2","GABRA3",23098,"LOC105373508",21236,23098,21236,13894
"23099","GABRA4","HAMP","GABRA4",23099,"LOC107985805",21237,23099,21237,13894
"23100","GABRA6","HAO2-IT1","GABRA6",23100,"SPATA2L",21238,23100,21238,13896
"23101","GABRG1","HAPLN2","GABRG1",23101,"LOC102724378",21240,23101,21240,13897
"23102","GABRG2","HAVCR1","GABRG2",23102,"PEG3",21242,23102,21242,13898
"23103","GABRG3","HAVCR1P1","GABRG3",23103,"LOC107986492",21243,23103,21243,13899
