"","truseq","inlysate","purified_RNA","rank","rand_truseq","inlysate_truseq","purified_truseq","inlysate_purified","rand_truseq_truseq"
"10575","SPTBN4","LOC105377806","SPTBN4",10575,"NECAB1",9497,10575,9497,2945
"10576","BOC","TPBGL","BOC",10576,"APCDD1",9498,10576,9498,2946
"10577","ZNF564","LOC105374346","ZNF564",10577,"LOC105370826",9499,10577,9499,2946
"10578","SP4","LOC105376544","SP4",10578,"ANKRD30BP3",9499,10578,9499,2946
"10579","TFAP2A","NPW","TFAP2A",10579,"PARP1",9500,10579,9500,2948
"10580","FXR1","SLCO2A1","FXR1",10580,"PRSS30P",9502,10580,9502,2948
"10581","SF3A2","LOC112268025","SF3A2",10581,"HAND2",9503,10581,9503,2949
"10582","VPS13B-DT","LOC105369975","VPS13B-DT",10582,"GSTA5",9503,10582,9503,2949
"10583","PARP4","OSR2","PARP4",10583,"LOC107987192",9505,10583,9505,2950
"10584","CD163L1","ERMN","CD163L1",10584,"TAF1B",9505,10584,9505,2951
"10585","GDI1","SNORD116-25","GDI1",10585,"DEFB107A",9506,10585,9506,2952
"10586","DZIP1L","SNORA63","DZIP1L",10586,"ANKRD20A3P",9507,10586,9507,2952
"10587","LINC00941","REXO4","LINC00941",10587,"DCDC2",9507,10587,9507,2952
"10588","HLA-B","IRF1-AS1","HLA-B",10588,"LINC02792",9509,10588,9509,2952
"10589","SLC39A11","LOC107986655","SLC39A11",10589,"HELB",9510,10589,9510,2953
"10590","GLA","HNRNPR","GLA",10590,"LOC105374033",9512,10590,9512,2954
"10591","RASIP1","LOC105372401","RASIP1",10591,"C1orf112",9514,10591,9514,2956
"10592","AGAP11","CECR7","AGAP11",10592,"LOC105373415",9514,10592,9514,2957
"10593","SEC31A","LOC105371348","SEC31A",10593,"LOC101927730",9515,10593,9515,2958
"10594","LPXN","MGARP","LPXN",10594,"HLA-DRB3",9517,10594,9517,2958
"10595","KIAA0319L","LOC105377402","KIAA0319L",10595,"TMEM109",9518,10595,9518,2959
"10596","ST6GALNAC4","LOC105369885","ST6GALNAC4",10596,"DPYSL4",9519,10596,9519,2960
"10597","THOP1","SENCR","THOP1",10597,"ST6GALNAC5",9520,10597,9520,2961
"10598","DDB2","ZNF821","DDB2",10598,"MIR1307",9522,10598,9522,2961
"10599","MED25","LINC01137","MED25",10599,"LINC01822",9524,10599,9524,2961
"10600","BTAF1","LL21NC02-21A1.1","BTAF1",10600,"LOC105373014",9525,10600,9525,2962
"10601","MEIS3P1","LOC105377644","MEIS3P1",10601,"MIR33B",9526,10601,9526,2963
"10602","DCAF4","LINC02453","DCAF4",10602,"GFER",9527,10602,9527,2964
"10603","GCFC2","VAMP7","GCFC2",10603,"TMEM88",9528,10603,9528,2964
"10604","FGF13","LINC01013","FGF13",10604,"LOC101928343",9528,10604,9528,2964
"10605","TMEM204","ERCC5","TMEM204",10605,"LOC105374715",9529,10605,9529,2964
"10606","RTN2","LINC00630","RTN2",10606,"GABRR2",9530,10606,9530,2965
